172,20,19,194
172,21,185,64
128,174,168,0
172,16,85,96
172,22,65,0
192,17,116,160
172,22,106,48
172,21,173,0
172,22,127,0
172,20,93,72
172,21,133,128
172,21,152,64
192,17,96,0
172,20,101,156
10,225,244,0
172,21,134,32
172,21,190,64
130,126,126,128
172,23,16,0
192,17,16,6
172,20,103,192
172,20,101,192
172,21,154,32
192,17,114,0
172,21,129,16
128,174,248,0
172,20,100,100
172,21,31,128
172,20,100,32
172,20,99,80
192,17,64,64
172,22,168,28
128,174,183,0
172,21,145,208
172,22,246,77
130,126,14,0
128,174,46,64
172,20,120,48
172,22,246,110
172,21,67,224
172,20,20,208
128,174,91,16
172,22,158,0
128,174,15,0
172,20,102,156
192,17,121,32
10,224,0,0
172,20,19,55
172,22,114,48
172,20,19,206
172,22,107,128
172,23,1,32
128,174,20,160
172,20,100,4
172,20,19,29
192,17,208,0
172,21,184,32
172,21,249,0
172,22,42,0
192,17,115,0
192,17,3,0
172,21,157,64
172,20,102,164
192,17,106,0
130,126,29,16
192,17,112,224
128,174,12,64
192,17,24,0
130,126,76,0
128,174,58,128
192,17,95,216
172,20,24,48
192,17,212,128
172,20,19,179
172,20,101,44
172,21,97,32
172,22,46,128
128,174,3,64
128,174,86,0
172,21,191,0
172,20,105,124
172,20,101,184
192,17,178,0
172,21,188,64
172,22,96,0
172,20,106,44
172,20,151,176
172,20,47,204
172,21,97,96
128,174,136,0
172,21,129,176
172,20,93,160
172,20,40,112
128,174,72,192
172,20,100,116
172,21,183,0
130,126,148,128
192,17,19,128
172,20,48,80
128,174,25,128
172,20,101,132
172,21,2,0
192,17,63,0
130,126,31,0
172,20,24,16
172,20,103,84
172,21,191,64
128,174,74,128
172,20,19,20
128,174,88,128
172,21,194,64
172,21,162,0
172,21,123,72
192,17,68,64
172,22,52,224
192,17,89,0
172,21,48,0
172,21,132,64
172,20,98,0
172,20,100,64
172,22,32,0
172,20,104,212
172,20,40,32
130,126,237,0
128,174,214,208
192,17,15,160
172,20,19,205
172,23,36,0
172,22,4,128
172,20,19,38
172,22,137,64
172,20,19,189
172,22,246,46
192,17,9,32
128,174,254,0
128,174,87,0
172,22,246,146
192,17,36,0
172,21,154,144
172,23,2,8
172,20,19,149
192,17,123,128
172,23,80,128
192,17,113,192
192,17,181,0
172,20,19,49
128,174,119,64
172,20,19,6
128,174,81,192
172,21,64,160
172,22,53,64
172,22,240,160
172,20,48,192
172,21,184,0
192,17,93,72
192,17,34,32
172,21,64,0
130,126,15,64
128,174,55,0
172,21,187,224
130,126,176,0
172,20,150,176
172,22,246,140
128,174,70,128
172,20,101,212
172,20,40,16
172,20,104,128
172,20,19,186
172,21,154,128
172,20,48,0
128,174,64,0
172,21,229,0
172,20,41,80
192,17,233,64
192,17,82,104
172,22,240,16
72,36,80,80
172,23,97,128
172,23,86,128
172,20,21,16
172,21,138,200
172,20,120,68
172,20,39,80
192,17,80,112
172,20,19,217
172,21,68,64
172,20,36,224
172,20,37,40
172,20,19,148
130,126,4,0
130,126,156,32
172,21,151,0
130,126,0,164
172,21,130,32
172,23,13,64
172,21,139,96
130,126,0,188
172,20,120,12
172,20,101,168
172,23,84,0
192,17,55,128
172,21,194,224
172,20,47,172
128,174,81,148
172,20,39,0
128,174,6,0
192,17,86,32
172,23,122,0
172,22,246,13
172,20,27,104
128,174,214,192
172,20,105,164
172,20,36,112
172,23,94,64
172,22,103,240
172,20,104,20
172,21,142,64
172,21,227,0
172,21,80,48
172,20,19,161
128,174,208,0
128,174,84,240
172,22,26,0
172,22,246,179
192,17,87,192
172,20,100,0
172,21,172,192
192,17,121,160
172,20,101,36
192,17,239,192
172,20,28,128
130,126,0,160
192,17,239,0
192,17,39,0
172,20,41,24
172,20,20,160
172,20,19,30
172,22,246,51
128,174,145,64
172,20,100,68
172,21,195,0
172,21,161,144
172,21,189,80
128,174,228,0
172,20,106,184
192,17,218,32
192,17,69,32
172,22,124,16
130,126,29,0
172,22,83,128
172,20,19,199
192,17,45,128
172,21,154,224
172,20,101,164
192,17,16,18
130,126,2,112
172,21,65,128
172,20,48,172
172,20,93,128
172,22,246,168
172,22,251,0
128,174,142,0
130,126,103,192
172,20,104,44
172,20,105,96
128,174,180,192
192,17,37,64
130,126,156,96
172,21,134,96
